Node ID,Degree,Modularity class,Betweenness centrality,Closeness centrality
"Leven, Daniel",1,10,0,0.255869
"Ranestad, Kristian",1,10,0,0.255869
"Roy, Marie-Francoise",1,10,0,0.255869
"Sack, Jorg-Rudiger",1,10,0,0.255869
"Sottile, Frank",2,10,0.000002,0.258809
"Sparer, Gerson H.",2,10,0,0.255937
"Toussaint, Godfried T.",2,10,0.000002,0.257416
"Benade, Gerhard",1,10,0,0.258937
"Blair, Jean Ragan Stephenson",3,10,0,0.262652
"Bresar, Bostjan",2,10,0,0.260451
"Dahlhaus, Elias",3,10,0.000007,0.263486
"Denko, Mieso Kabeto",1,10,0,0.258937
"Domke, Gayla Sue",7,10,0.000015,0.265874
"Dorbec, Paul",3,10,0.000005,0.262234
"Dorfling, Michael J.",3,10,0,0.261064
"Gairing, Martin",3,10,0,0.262037
"Gessel, Ira M.",2,10,0.000001,0.258971
"Grobler, Petrus Jachemus Paulus (Paul)",4,10,0,0.262371
"Harris, John Michael^1",3,10,0.000006,0.265073
"Hartnell, Bert Leonard",4,10,0,0.263516
"Hedetniemi, Sandra Mitchell",8,10,0.000025,0.266328
"Horton, Steven Bradish",3,10,0,0.262652
"Huff, James L.",2,10,0,0.261497
"Jacob, Jobby",3,10,0.000013,0.26276
"Jacobs, David Pokrass",4,10,0.000018,0.271654
"Jamieson, Alan Charles",2,10,0,0.261497
"Jesurum, C. Esther",1,10,0,0.258937
"Jones, Patrick",3,10,0,0.262652
"Kanakadandi, Kiran",1,10,0,0.258937
"Kennedy, Ken Edward",3,10,0,0.262037
"Kinyua, Johnson",1,10,0,0.258937
"Klavzar, Sandi",2,10,0,0.260451
"Kristiansen, Petter",3,10,0,0.262037
"Larsen, James D.",1,10,0,0.258937
"Letschert, Robert Y.",1,10,0,0.258937
"Lyle, Jeremy",4,10,0.000024,0.264283
"Maharaj, Hiren",4,2,0.000054,0.265012
"Manne, Fredrik",2,10,0,0.261497
"Mawrey, Robert S.",1,10,0,0.258937
"McPillan, Charles A.",3,10,0,0.262043
"McRae, Alice Anne",7,10,0.000006,0.265549
"Melville, Stuart William",1,10,0,0.258937
"Mukwembi, Simon",3,10,0,0.262043
"Rall, Douglas Frank",5,10,0.000003,0.265409
"Reddy, Kamil",1,10,0,0.258937
"Shi, Charles Zhengnan",3,10,0,0.262037
"Shur, Walter",1,10,0,0.258937
"Sinko, Anne C.",1,10,0,0.258937
"Skaggs, Robert Duane",3,10,0,0.262037
"Southey, Justin",2,10,0,0.260451
"Spencer, P. L.",1,10,0,0.258937
"Springfield, Michael",1,10,0,0.258937
"Srimani, Pradip Kumar",2,10,0,0.261497
"Swart, Christine S.",2,10,0,0.260545
"Swart, John H.",1,10,0,0.258937
"Trevisan, Vilmar",2,10,0,0.261497
"Ungerer, Elna",4,10,0,0.262658
"van den Berg, Paul",2,10,0,0.260545
"van der Merwe, Lucas Cornelius",4,10,0,0.263564
"Vaughan, Emil R.",3,10,0.00006,0.265947
"Wash, Kirsti",2,10,0,0.260451
"Winter, Paul August",3,10,0,0.262043
"Xu, Honghai",1,10,0,0.258937
"Xu, Zhenyu",2,10,0,0.261497
"Yen, Lily",1,10,0,0.258937
"Zhu, Bing Huan",1,10,0,0.258937
"Chou, Andrew",1,10,0,0.255596
"Cooperstock, Jeremy",1,10,0,0.255596
"Anderson, Bruce B.",2,8,0,0.255071
"Ash, Garrett I.",1,8,0,0.254665
"Ash, Michael A.",1,8,0,0.254665
"Ash, Peter F.",1,8,0,0.254665
"Berele, Allan",1,8,0,0.254665
"Brown, Russell M.",1,8,0,0.254665
"Catoiu, Stefan",1,8,0,0.254665
"Cohen, Jonathan^2",1,8,0,0.254665
"De Carli, Laura",1,8,0,0.254665
"Fejzic, Hajrudin",1,8,0,0.254665
"Freiling, Christopher F.",4,5,0.000024,0.256775
"Ganzburg, Michael I.",1,8,0,0.254665
"Gatto, Angel Eduardo",1,8,0,0.254665
"Gluck, Lawrence",1,8,0,0.254665
"Karaev, Mubariz Tapdigoglu",1,8,0,0.254665
"Kaufman, Robert P.",1,8,0,0.254665
"Ogden, Robert D.",1,8,0,0.254665
"Petersen, Thomas Kyle",1,8,0,0.254665
"Rains, Michael",1,8,0,0.254665
"Rider, Daniel G.",2,8,0,0.255071
"Rieders, Eric",1,8,0,0.254665
"Rinne, Dan",1,8,0,0.254665
"Rios-Collantes-De-Teran, Ricardo",1,8,0,0.254665
"Ross, Kenneth Allen",2,5,0.000002,0.255212
"Sexton, Harlan Bennet",2,8,0.000031,0.257693
"Tan, Yiren",1,8,0,0.254665
"Tetunashvili, Shakro T.",1,8,0,0.254665
"Tikhonov, Sergey Yu.",1,8,0,0.254665
"Tung, James",1,8,0,0.254665
"Vagi, Stephen",1,8,0,0.254665
"Wang, Gang^2",1,8,0,0.254665
"Weinberg, David A.",1,8,0,0.254665
"Welland, Grant V.",1,8,0,0.254665
"Bjorck, Goran",1,8,0,0.253512
"Eliahou, Shalom",3,8,0.000042,0.268273
"Kervaire, Michel Andre",1,8,0,0.253512
"Queffelec, Herve",1,8,0,0.253512
"Vaillancourt, Remi",1,8,0,0.253512
"Harmon, Gregory",1,0,0,0.252889
"Le, Mao Hua",1,0,0,0.252889
"Murthy, Amarnath",1,0,0,0.252889
"Neirynck, Lori",1,0,0,0.252889
"Nolte, William D., Jr.",1,0,0,0.252889
"Straw, Mark",1,0,0,0.252889
"Wilson, Lewis",1,0,0,0.252889
"Agarwal, Vinod Kumar^2",1,10,0,0.255088
"Ando, Kiyoshi",2,10,0.000038,0.268417
"Aoshima, Yoshikazu",1,10,0,0.255088
"Beresford-Smith, Bryan",1,10,0,0.255088
"Bhattacharya, Binay Kumar",3,10,0.00004,0.263504
"Bremner, David Dylan",1,10,0,0.255088
"Cuturi, Marco",1,10,0,0.255088
"Davis, Burgess",1,10,0,0.255088
"De Simone, Caterina",2,10,0,0.257302
"Deering, Theresa",1,10,0,0.255088
"Deza, Antoine",3,10,0.000019,0.260563
"Doskas, Mike",1,10,0,0.255088
"El-Gindy, Hossam A.",1,10,0,0.255088
"Era, Hiroshi",3,10,0.000038,0.272238
"Evans, Alan C.",1,10,0,0.255088
"Fukuda, Komei",2,10,0,0.257302
"Grishukhin, Viatcheslav P.",2,10,0,0.257302
"Guevremont, Eric",1,10,0,0.255088
"Gum, Teren",1,10,0,0.255088
"Hasegawa, Jun",1,10,0,0.255088
"Hayase, Kazuyoshi",1,10,0,0.255088
"Hayden, Patrick M.",1,10,0,0.255088
"Hilbert, Astrid",1,10,0,0.255088
"Horton, Joseph D.",3,10,0.000053,0.259076
"Hosono, Kiyoshi^1",1,10,0,0.255088
"Houle, Michael E.",1,10,0,0.255088
"Imai, Hiroshi",1,10,0,0.255088
"Imai, Keiko",1,10,0,0.255088
"Imamura, Tomokazu",1,10,0,0.255088
"Inaba, Mary",1,10,0,0.255088
"Ito, Tsuyoshi",1,10,0,0.255088
"Iwama, Kazuo",1,10,0,0.255088
"Kaluzny, Bohdan",1,10,0,0.255088
"Khrennikov, Andrei Yuri",1,10,0,0.255088
"Kong, Chiu Ming",1,10,0,0.255088
"Kyoda, Yoshiaki",1,10,0,0.255088
"Lai, C. W.",1,10,0,0.255088
"MacDonald, J. David",1,10,0,0.255088
"Masada, Tomonari",1,10,0,0.255088
"Matsumoto, Yoshitake",1,10,0,0.255088
"McCallum, Duncan",1,10,0,0.255088
"Miyata, Hiroyuki",1,10,0,0.255088
"Moriyama, Sonoko",1,10,0,0.255088
Mutt,1,10,0,0.255088
"Nakade, Motoki",1,10,0,0.255088
"Nobili, Paolo",1,10,0,0.255088
"Ohsaki, Makoto",1,10,0,0.255088
"Ono, Tsuyoshi",1,10,0,0.255088
"Owari, Masaki",1,10,0,0.255088
"Paku, Daichi",1,10,0,0.255088
"Picozzi, Stefano",1,10,0,0.255088
"Robert, Jean-Marc",1,10,0,0.255088
"Rosenberg, Gabriel D.",1,10,0,0.255088
"Roumanis, Gary",1,10,0,0.255088
"Sasaki, Yuuya",1,10,0,0.255088
"Savani, Rahul",1,10,0,0.255088
"Savov, Ivan",1,10,0,0.255088
"Shibuya, Tetsuo^2",1,10,0,0.255088
"Somani, Arun K.",1,10,0,0.255088
"Steele, J. Michael",2,10,0.000013,0.256312
"Streinu, Ileana",1,10,0,0.255088
"Tanigawa, Shin-ichi",1,10,0,0.255088
"Titley-Peloquin, David",1,10,0,0.255088
"Tiwary, Hans Raj",1,10,0,0.255088
"Umemoto, Jun",1,10,0,0.255088
"Urabe, Masatsugu",1,10,0,0.255088
"von Stengel, Bernhard",1,10,0,0.255088
"Wilde, Mark M.",1,10,0,0.255088
"Zhu, Binhai",1,10,0,0.255088
"Assouad, Patrice",1,10,0,0.255886
"Bellarosa, Luca",1,10,0,0.255886
"Bonisoli, Arrigo",1,10,0,0.255886
"Brinkmann, Gunnar",2,10,0.000011,0.262133
"Ceulemans, Arnout",1,10,0,0.255886
"Chebotarev, Pavel Yu.",1,10,0,0.255886
"Chepoi, Victor D.",1,10,0,0.255886
"de La Vaissiere, Benoit",1,10,0,0.255886
"Debroni, Sean",1,10,0,0.255886
"Delgado-Friedrichs, Olaf",2,3,0.000016,0.257497
"Delisle, Erin",1,10,0,0.255886
"Deza, Elena I. (Panteleeva)",1,10,0,0.255886
"Dutour Sikiric, Mathieu",2,10,0.000015,0.259724
"Foldes, Stephane",3,10,0.000028,0.257491
"Fowler, Patrick W.",3,9,0.000011,0.25928
"Gupta, Anupam^1",1,10,0,0.255886
"Hamada, Noboru",1,10,0,0.255886
"Hoffman, Frederick",1,10,0,0.255886
"Huang, Ta Yuan",1,10,0,0.255886
"Ihringer, Thomas",1,10,0,0.255886
"Indyk, Piotr",1,10,0,0.255886
"Karpovsky, Mark G.",1,10,0,0.255886
"Laburthe, Francois",1,10,0,0.255886
"Lih, Ko-Wei",1,10,0,0.255886
"Lijnen, Erwin J.",1,10,0,0.255886
"Pasechnik, Dmitrii V.",2,10,0.000006,0.259736
"Pasini, Antonio",2,10,0,0.259513
"Raskhodnikova, Sofya",1,10,0,0.255886
"Rassat, Andre",1,10,0,0.255886
"Rogers, Kevin M.",2,9,0.000003,0.257888
"Sethi, Amit",1,10,0,0.255886
"Shpektorov, Sergey V.",3,10,0.000012,0.26158
"Shtogrin, Mikhail I.",1,10,0,0.255886
"Terwillinger, Paul M.",1,10,0,0.255886
"Tuma, Jiri",1,10,0,0.255886
"Vidali, Janos",1,10,0,0.255886
"Vietze, K.",1,10,0,0.255886
"Whitney, Joseph",1,10,0,0.255886
"Woodcock, Jennifer",1,10,0,0.255886
"Applegate, Ross",1,10,0,0.258391
"Araujo, Joao",1,10,0,0.258391
"Bailey, Robert Francis",1,10,0,0.258391
"Bailey, Rosemary Anne",2,10,0.000008,0.262963
"Bell, Jason P.",4,10,0.000172,0.267248
"Bentz, Wolfram",1,10,0,0.258391
"Beutelspacher, Albrecht",1,10,0,0.258391
"Bohn, Adam",1,10,0,0.258391
"Bonato, Anthony",1,10,0,0.258391
"Browning, Joshua M.",1,10,0,0.258391
"Buchheim, Christoph",1,10,0,0.258391
"Buekenhout, Francis",1,10,0,0.258391
"Bussemaker, Frans C.",3,10,0.000014,0.263119
"Cannon, John J.",1,10,0,0.258391
"Cara, Philippe",1,10,0,0.258391
"Chetwynd, Amanda G.",2,10,0.000005,0.259385
"Cohen, Arjeh Marcel",1,10,0,0.258391
"Connelly, Robert",1,10,0,0.258391
"Delic, Dejan",1,10,0,0.258391
"Denniston, Ralph Hugh Francis",1,10,0,0.258391
"Dent, Alexander W.",1,10,0,0.258391
"Dobcsanyi, Peter",1,10,0,0.258391
"Fairbairn, Ben",1,10,0,0.258391
"Fisher, Paul H.",1,10,0,0.258391
"Gadouleau, Maximilien",1,10,0,0.258391
"Gateva-Ivanova, Tatiana",1,10,0,0.258391
"Gewurz, Daniele A.",1,10,0,0.258391
"Ghinelli-Smit, Dina",1,10,0,0.258391
"Ghosh, Shamik",1,10,0,0.258391
"Giudici, Michael",2,10,0.000006,0.261877
"Goethals, Jean-Marie",1,10,0,0.258391
"Haemers, Wilhelmus Hubertus",2,10,0,0.260363
"Hall, Jonathan I.",4,10,0.000018,0.26486
"Holroyd, Fred C.",1,10,0,0.258391
"Hughes, Daniel R.",2,10,0,0.259251
"Iyudu, Natalia K.",1,10,0,0.258391
"Johnson, Charles Royal",2,10,0.000005,0.259274
"Johnson, Kenneth Walter",2,10,0.000054,0.261746
"Jones, Gareth A.",2,10,0.00003,0.262252
"Kataoka, Toshitaka",1,10,0,0.258391
"Kayibi, Koko Kalambay",1,10,0,0.258391
"Kazanidis, Priscila Pascual Alejandro",1,10,0,0.258391
"Klin, Mikhail H.",2,10,0.000013,0.261871
"Knarr, Norbert",1,10,0,0.258391
"Korchmaros, Gabor",1,10,0,0.258391
"Kovacs, Laszlo Gyorgy",1,10,0,0.258391
"Krattenthaler, Christian F.",2,3,0.000018,0.261764
"Ku, Cheng Yeaw",1,10,0,0.258391
"Liebler, Robert A.",2,10,0.000005,0.260058
"Lockett, Deborah C.",1,10,0,0.258391
"Maimani, Hamid Reza",1,10,0,0.258391
"Majid, Shahn",1,10,0,0.258391
"Martins, Cleide S.",1,10,0,0.258391
"Marusic, Dragan",2,10,0.00001,0.259636
"Mason, John H.",1,10,0,0.258391
"Mazzocca, Francesco",1,10,0,0.258391
"Merola, Francesca",1,10,0,0.258391
"Mitchell, James D.",1,10,0,0.258391
"Montanaro, Ashley",1,10,0,0.258391
"Morgan, John P.",1,10,0,0.258391
"Muller, Peter Friedrich",1,10,0,0.258391
"Muller, Thomas W.",1,10,0,0.258391
"Nelson, Roy",1,10,0,0.258391
"Neumann, Peter M.",2,5,0.000019,0.26218
"Neunhoffer, Max",2,10,0.000006,0.261877
"Newman, Michael F.",1,10,0,0.258391
"Newman, Michael William",2,10,0.000005,0.260058
"Nowitz, Lewis A.",1,10,0,0.258391
"Omidi, Gholam Reza",1,10,0,0.258391
"Payne, Stanley E.",1,10,0,0.258391
"Prellberg, Thomas",1,10,0,0.258391
"Riis, Soren",1,10,0,0.258391
"Rowley, Christopher Andrew",1,10,0,0.258391
"Rudd, Jason D.",1,10,0,0.258391
"Rudvalis, Arunas",1,10,0,0.258391
"Schweitzer, Pascal",2,10,0.000008,0.262963
"Seitz, Gary M.",1,10,0,0.258391
"Serra Albo, Oriol",1,10,0,0.258391
"Shult, Ernest E.",3,10,0.000017,0.260828
"Soicher, Leonard H.",2,3,0.000022,0.259327
"Spiga, Pablo",4,10,0.000128,0.268142
"Springer, Tonny Albert",3,10,0.000006,0.260551
"Szabo, Csaba^1",2,10,0,0.259391
"Tarzi, Sam",1,10,0,0.258391
"Tayfeh-Rezaie, Behruz",1,10,0,0.258391
"Taylor, Donald E.",1,10,0,0.258391
"Teague, David N.",1,10,0,0.258391
"Thas, Joseph Adolphe",2,10,0.000029,0.260952
"Tsaranov, Sergei V.",1,10,0,0.258391
"Watkins, John Jaeger",2,10,0.000005,0.259385
"Webb, Bridget S.",1,10,0,0.258391
"Wells, Albert L., Jr.",1,10,0,0.258391
"Winter, Andreas J.",1,10,0,0.258391
"Audenaert, Koenraad M. R.",1,10,0,0.255602
"Brown, John",1,10,0,0.255602
"Chan, Ada",1,10,0,0.255602
"Cheung, Wang-Chi",1,10,0,0.255602
"Conder, Marston D. E.",2,10,0.000003,0.259047
"Fan, Xiaoxia",1,10,0,0.255602
"Gardiner, Anthony D.",2,10,0.000003,0.259047
"Guo, Krystal",1,10,0,0.255602
"Hensel, A. D.",1,10,0,0.255602
"Hobart, Sylvia A.",3,10,0.000006,0.260799
"Koolen, Jacobus Hendricus",1,10,0,0.255602
"Mallory, Devlin",1,10,0,0.255602
"Martin, William J.",2,10,0.000007,0.258368
"Meagher, Karen",1,10,0,0.255602
"Munemasa, Akihiro",1,10,0,0.255602
"Raz, Abigail",1,10,0,0.255602
"Roy, Aidan",1,10,0,0.255602
"Rudolph, Terry",1,10,0,0.255602
"Seifter, Norbert",1,10,0,0.255602
"Shawe-Taylor, John",1,10,0,0.255602
"Tamon, Christino",1,10,0,0.255602
"Zhang, Xiao Ling^2",1,10,0,0.255602
"Bauldry, William C.",1,8,0,0.254031
"Erdelyi, Tamas",3,8,0.000001,0.255342
"Jha, Shing-Whu",1,8,0,0.254031
"Nevai, Paul G.",6,8,0.000011,0.256164
"Szucs, Jozsef M.",1,8,0,0.254031
"Van Assche, Walter",2,8,0,0.255082
"Zaslavsky, Thomas",2,8,0.000002,0.254975
"Alekhnovich, Michael",1,4,0,0.256352
"Allenberg-Navony, Nechama",1,4,0,0.256352
"Bar-Yehuda, Reuven",2,4,0,0.257727
"Biran, Ofer",2,4,0,0.257727
"Brit, Hagit",1,4,0,0.256352
"Buss, Samuel R.",1,4,0,0.256352
"Cori, Robert",1,4,0,0.256352
"Dinitz, Yefim",2,4,0,0.257727
"Doerr, Carola (Winzen)",1,4,0,0.256352
"Doerr, Daniel",1,4,0,0.256352
"Eilam, Tamar",2,4,0,0.257727
"Etzion, Tuvi",3,4,0.000039,0.261877
"Fischer, Michael J.",2,2,0.000018,0.257929
"Francez, Nissim",2,4,0,0.257727
"Franta, William R.",1,4,0,0.256352
"Gold, Yaron I.",1,4,0,0.256352
"Gorbach, Alla",1,4,0,0.256352
"Gronau, Ilan",1,4,0,0.256352
"Hui, Roger",1,4,0,0.256352
"Ibarra, Oscar H.",1,4,0,0.256352
"Israeli, Amos",1,4,0,0.256352
"Katz, Shmuel",1,4,0,0.256352
"Kim, Sam Myo",1,4,0,0.256352
"Korach, Ephraim",2,4,0,0.257727
"Kutten, Shay",2,4,0,0.257727
"Leininger, Brian S.",1,4,0,0.256352
"Lempel, Ronny",1,4,0,0.256352
"Lubitch, Ronit",1,4,0,0.256352
"Malka, Yossi",2,4,0,0.257727
"Moran, Shay",1,4,0,0.256352
"Paz, Azaria",1,4,0,0.256352
"Porat, Sara",2,4,0,0.257727
"Rajsbaum, Sergio",1,4,0,0.256352
"Rao, Satish B.",1,4,0,0.256352
"Rappoport, Lihu",1,4,0,0.256352
"Rosier, Louis E.",1,4,0,0.256352
"Sung, Wing-Kin",1,4,0,0.256352
"Tong, Po",2,4,0.000029,0.258443
"Warmuth, Manfred K.",1,4,0,0.256352
"Wilber, Robert E.",2,4,0,0.259059
"Wolfstahl, Yaron",2,4,0,0.257727
"Yadin, Irit",1,4,0,0.256352
"Yavneh, Irad",1,4,0,0.256352
"Bianchi, Mariagrazia",2,10,0.000004,0.255869
"Czedli, Gabor",2,5,0.000005,0.255528
"Davey, Brian A.",1,10,0,0.255189
"Gillio Berta Mauri, Anna",2,10,0.000004,0.255869
"Glasby, Stephen P.",1,10,0,0.255189
"Gould, Matthew I.",1,10,0,0.255189
"Halas, Radomir",1,10,0,0.255189
"Halasi, Zoltan",1,10,0,0.255189
"Hegudus, Pal",1,10,0,0.255189
"Iskra, Joseph A.",1,10,0,0.255189
"Kearnes, Keith A.",1,10,0,0.255189
"Kiss, Emil W.",2,10,0,0.255534
"Kovacs, Sandor J.",1,10,0,0.255189
"Levai, Levente",2,10,0,0.258756
"Li, Cai Heng",3,10,0.000024,0.262473
"Lu, Zai Ping",1,10,0,0.255189
"Lukacs, Erzsebet",1,10,0,0.255189
"Nation, James B.",1,10,0,0.255189
"Schneider, Csaba",1,10,0,0.255189
"Steinfeld, Otto",1,10,0,0.255189
"Szabo, Laszlo^1",2,10,0,0.255534
"Szendrei, Agnes",2,10,0,0.255534
"Szep, Jeno",2,10,0.000003,0.256975
"Blake-Wilson, Simon",1,10,0,0.257003
"Borges, Joaquim",1,10,0,0.257003
"Fernandez-Cordoba, Cristina",1,10,0,0.257003
"Hankerson, Darrel R.",1,10,0,0.257003
"Leonard, Douglas A.",1,10,0,0.257003
"Levan, Mike",1,10,0,0.257003
"Muse, William B.",1,10,0,0.257003
"Rifa, Josep (Rifa-Coma)",1,10,0,0.257003
"Villanueva, Merce",1,10,0,0.257003
"Wall, James R.",1,10,0,0.257003
"Yin, Carol M.",1,10,0,0.257003
"Zeng, Peng^2",1,10,0,0.257003
"Zhu, Yu^1",1,10,0,0.257003
"Zinoviev, Viktor Aleksandrovich",1,10,0,0.257003
"Borovik, Alexandre Vasilievich",1,10,0,0.257468
"Dixon, John D.",2,10,0,0.25987
"Gill, Nicholas Paul",2,10,0,0.25987
"Jaikin-Zapirain, Andrei",1,10,0,0.257468
"Kempe, Julia",1,10,0,0.257468
"Liebeck, Martin W.",1,10,0,0.257468
"Mann, Avinoam",5,3,0.000016,0.262933
"Segal, Daniel",1,10,0,0.257468
"Short, Ian",1,10,0,0.257468
"Szabo, Endre",3,10,0.000001,0.26193
"Yu, Xingxing",5,10,0.000034,0.268217
"Atkins, Aron C.",2,10,0,0.255517
"Christen, Claude-Andre",1,10,0,0.254778
"Coray, Giovanni",1,10,0,0.254778
"Dougherty, Daniel J.",1,10,0,0.254778
"Garfinkel, Robert S.",1,10,0,0.254778
"Hachem, Nabil I.",1,10,0,0.254778
"Hughes, Charles E.",1,10,0,0.254778
"Murphy, Owen J.",1,10,0,0.254778
"Nastansky, Ludwig",1,10,0,0.254778
"Noetzel, Andrew S.",1,10,0,0.254778
"Song, Fei",2,10,0,0.255517
"Stewart, Neil Frederick",1,10,0,0.254778
"Taylor, Stephen Eugene",1,10,0,0.254778
"Ankaralioglu, Nurullah",1,10,0,0.257319
"Bamberg, John",1,10,0,0.257319
"Bezrukov, Sergei L.",1,10,0,0.257319
"Brooksbank, Peter A.",1,10,0,0.257319
"Burness, Timothy C.",1,10,0,0.257319
"Chen, Jing",1,10,0,0.257319
"Devillers, Alice",1,10,0,0.257319
"Friedman, Harvey Martin",1,10,0,0.257319
"Gluck, David",1,10,0,0.257319
"Helfgott, Harald Andres",1,10,0,0.257319
"Hulpke, Alexander",2,3,0.000012,0.258971
"Ivanov, Aleksandr Anatolevich",1,10,0,0.257319
"Jin, Wei",1,10,0,0.257319
"Law, Maska",1,10,0,0.257319
"Leedham-Green, Charles R.",1,10,0,0.257319
"Magaard, Kay",1,10,0,0.257319
"Mehta, Nishali",1,10,0,0.257319
"Metsch, Klaus",2,10,0.00001,0.260999
"Niemeyer, Alice C.",1,10,0,0.257319
"Niu, Liang",1,10,0,0.257319
"O'Brien, Eamonn A.",2,3,0.000012,0.258971
"Puliyambalath, Naushad Pasha",1,10,0,0.257319
"Qin, Hongxun",1,10,0,0.257319
"Robertson, Edmund F.",1,10,0,0.257319
"Schonert, Martin",1,10,0,0.257319
"Song, Shu Jiao",1,10,0,0.257319
"Swartz, Eric",1,10,0,0.257319
"Trofimov, Vladimir Ivanovich",1,10,0,0.257319
"Weisz, Ivan",1,10,0,0.257319
"Wilbrink, Hendrikus Adrianus",1,10,0,0.257319
"Wong, Tsai-Lien",2,10,0.000015,0.264332
"Yalcinkaya, Sukru",1,10,0,0.257319
"Yang, Keyan",1,10,0,0.257319
"Zuk, Andrzej",1,10,0,0.257319
"Dietmann, Rainer",2,10,0,0.259624
"Elsholtz, Christian",1,10,0,0.259496
"Hladky, Jan",1,10,0,0.259496
"Hu, Ping",1,10,0,0.259496
"Piguet, Diana",1,10,0,0.259496
"Stein, Maya Jakobine",1,10,0,0.259496
"Thomas, George Rubin",1,10,0,0.259496
"Antony, Tharayil Antony",1,10,0,0.255619
"Apte, Naresh",1,10,0,0.255619
"Arasu, Krishnasamy Thiru",2,10,0.000002,0.255789
"Athreya, Krishna Balasundaram",2,8,0.000004,0.25588
"Bhattacharya, Amitava",1,10,0,0.255619
"Chahal, Jasbir Singh",2,10,0.000011,0.256723
"Cowsik, R. Chandrasekhar",1,10,0,0.255619
"Ghosh, Subir^1",2,10,0,0.256107
"Iyengar, Shriniwas",1,10,0,0.255619
"Khosrovshahi, Gholamreza B.",1,10,0,0.255619
"Manickam, Nachimuthu",1,10,0,0.255619
"McCarthy, David",3,10,0.000016,0.263252
"Naik, Ranjan N.",2,10,0,0.256107
"Pranesachar, Chudamani Raghavendrachar",2,3,0.000001,0.256981
"Sane, Sharad S.",3,10,0.000002,0.259001
"Sanyal, Sugata",1,10,0,0.255619
"Seo, Stela H.",1,10,0,0.255619
"Shrikhande, Mohan S.",1,10,0,0.255619
"Shrikhande, Sharad S.",2,10,0,0.256107
"Subramanian, Pattamadai Sitaraman",1,10,0,0.255619
"Usha Devi, N.",1,10,0,0.255619
"Van Rees, Gerritt Hendrik Johannes (John)",4,10,0.000009,0.259607
"Vijayakumar, Gurusamy Rengasamy",2,10,0,0.256107
"Vijayan, Kulakkatt Sankunny",2,10,0,0.256107
"Wu, Geng-Feng",1,10,0,0.255619
"Aschbacher, Michael G.",1,10,0,0.257393
"Baker, Ronald D.",2,10,0,0.258722
"Baldi, Pierre",1,10,0,0.257393
"Baum, Eric B.",1,10,0,0.257393
"Doyen, Jean",2,10,0.000001,0.259484
"Draganova, Anna",1,10,0,0.257393
"Janwa, Heeralal",1,10,0,0.257393
"Li Marzi, Enzo Maria",1,10,0,0.257393
"McGuire, Gary M.",1,10,0,0.257393
"Mutoh, Yukiyasu",1,10,0,0.257393
"Onyszchuk, Ivan M.",3,10,0.00003,0.261248
"Pless, Vera Stephen",2,10,0.000006,0.258966
"Rania, Francesco",1,10,0,0.257393
"Wong, Tony Wing Hong",1,10,0,0.257393
"Xiang, Qing",1,10,0,0.257393
"Bai, Zhi Dong",1,8,0,0.25335
"Bose, Arup",1,8,0,0.25335
"Boyarsky, Abraham",1,8,0,0.25335
"Canty, Angelo J.",1,8,0,0.25335
"Chaubey, Yogendra P.",1,8,0,0.25335
"Choi, Kwok Pui",1,8,0,0.25335
"Deo, Chandrakant Mahadeorao",1,8,0,0.25335
"Djorgovski, S. George",1,8,0,0.25335
"Feigelson, Eric D.",1,8,0,0.25335
"Fraley, Chris",1,8,0,0.25335
"Ghosh, Malay",1,8,0,0.25335
"Gora, Pawel",1,8,0,0.25335
"Hennemuth, Richard C.",1,8,0,0.25335
"Koti, Kallappa M.",1,8,0,0.25335
"Lee, Hyunsook",1,8,0,0.25335
"Liechty, John C.",1,8,0,0.25335
"Lin, Dennis K. J.",1,8,0,0.25335
"Linder, Ernst",1,8,0,0.25335
"Mahabal, Ashish",1,8,0,0.25335
"Mangalam, Vasudevan",1,8,0,0.25335
"Manstavicius, Eugenijus",2,3,0.000006,0.253891
"McDermott, James P.",1,8,0,0.25335
"Mukherjee, S.",1,8,0,0.25335
"Mukhopadhyay, Nitis",1,8,0,0.25335
"Murtagh, Fionn D.",1,8,0,0.25335
"Myers, Wayne L.",1,8,0,0.25335
"Padmanabhan, Appaswamy R.",1,8,0,0.25335
"Parr, William C.",1,8,0,0.25335
"Patil, Ganapati P.",1,8,0,0.25335
"Puri, Madan Lal",3,9,0.000015,0.254817
"Raftery, Adrian E.",1,8,0,0.25335
"Rajarshi, Manohar B.",1,8,0,0.25335
"Rao, Marepalli Bhaskara",3,10,0.000018,0.255427
"Scargle, Jeffrey D.",1,8,0,0.25335
"Serinko, Regis J.",1,8,0,0.25335
"Singh, Kesar",1,8,0,0.25335
"Taillie, Charles",1,8,0,0.25335
"Williams, Roy David",1,8,0,0.25335
"Yang, Ya Ning",1,8,0,0.25335
"Zacharovas, Vytas",1,8,0,0.25335
"Bhat, Kishor G.",1,3,0,0.254166
"Huxley, Martin N.",4,5,0.000004,0.255903
"Kanemitsu, Shigeru",3,3,0.000003,0.257693
"Narlikar, M. J.",1,3,0,0.254166
"Sankaranarayanan, Ayyadurai",5,3,0.000021,0.259379
"Sinha, Nilotpal Kanti",1,3,0,0.254166
"Srinivas, Kotyada",3,3,0.000012,0.258449
"Srinivasan, Seshadri",4,3,0.000011,0.256723
"Sukthankar, Neela S.",1,3,0,0.254166
"Volovich, Igor V.",1,3,0,0.254166
"Humke, Paul D.",3,5,0.00002,0.256187
